No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
104,cnn_adam_tanh_ts10_d5,adam,tanh,10,0.05,0.37798,0.61480,0.48115,1.88008
105,cnn_adam_tanh_ts10_d10,adam,tanh,10,0.1,0.57904,0.76095,0.60382,2.34396
106,cnn_adam_tanh_ts10_d15,adam,tanh,10,0.15,0.37658,0.61366,0.45923,1.79782
107,cnn_adam_tanh_ts10_d20,adam,tanh,10,0.2,0.38329,0.61910,0.45660,1.79190
108,cnn_adam_tanh_ts15_d1,adam,tanh,15,0.01,0.55027,0.74180,0.58649,2.28393
109,cnn_adam_tanh_ts15_d5,adam,tanh,15,0.05,0.46390,0.68110,0.51829,2.02376
110,cnn_adam_tanh_ts15_d10,adam,tanh,15,0.1,0.83038,0.91125,0.72101,2.78464
111,cnn_adam_tanh_ts15_d15,adam,tanh,15,0.15,0.64825,0.80514,0.61255,2.37556
112,cnn_adam_tanh_ts15_d20,adam,tanh,15,0.2,0.59898,0.77394,0.60053,2.32148
113,cnn_adam_sigmoid_ts5_d1,adam,sigmoid,5,0.01,0.41027,0.64052,0.51042,2.00198
114,cnn_adam_sigmoid_ts5_d5,adam,sigmoid,5,0.05,0.46173,0.67951,0.54580,2.13537
115,cnn_adam_sigmoid_ts5_d10,adam,sigmoid,5,0.1,0.45353,0.67344,0.53830,2.10448
116,cnn_adam_sigmoid_ts5_d15,adam,sigmoid,5,0.15,0.44967,0.67058,0.52984,2.09339
117,cnn_adam_sigmoid_ts5_d20,adam,sigmoid,5,0.2,0.46942,0.68514,0.54713,2.14859
118,cnn_adam_sigmoid_ts10_d1,adam,sigmoid,10,0.01,0.34771,0.58967,0.45631,1.79028
119,cnn_adam_sigmoid_ts10_d5,adam,sigmoid,10,0.05,0.36641,0.60532,0.47053,1.84555
120,cnn_adam_sigmoid_ts10_d10,adam,sigmoid,10,0.1,0.55620,0.74579,0.60280,2.34727
121,cnn_adam_sigmoid_ts10_d15,adam,sigmoid,10,0.15,0.50612,0.71142,0.57092,2.22312
122,cnn_adam_sigmoid_ts10_d20,adam,sigmoid,10,0.2,0.38827,0.62311,0.48252,1.89429
123,cnn_adam_sigmoid_ts15_d1,adam,sigmoid,15,0.01,0.56230,0.74987,0.60895,2.36385
124,cnn_adam_sigmoid_ts15_d5,adam,sigmoid,15,0.05,0.48014,0.69292,0.53475,2.11725
125,cnn_adam_sigmoid_ts15_d10,adam,sigmoid,15,0.1,0.55890,0.74760,0.60797,2.36330
